GEO_NAME,latitude,longitude,C1_COUNT_TOTAL,cluster,distance_to_ems
"Barrington, Municipal district (MD)",43.64389006997893,-65.58084197925176,6523,28,0.0
"Clark's Harbour, Town (T)",43.447297434868034,-65.63654775291435,725,4,0.0
"Shelburne, Municipal district (MD)",43.877497358091986,-65.28968799025236,4336,27,0.0
"Shelburne, Town (T)",43.770295415795125,-65.31890642264459,1644,58,0.0
"Lockeport, Town (T)",43.70192418872189,-65.1182362763485,476,56,0.0
"Argyle, Municipal district (MD)",43.92662092653887,-65.71760926031237,7870,9,0.0
"Yarmouth, Municipal district (MD)",43.955529051414025,-66.00101740842786,10067,38,0.0
"Yarmouth, Town (T)",43.837664409455265,-66.1071110995519,6829,30,0.05243374866077171
"Yarmouth 33, Indian reserve (IRI)",43.83600886517303,-66.081896364643,181,30,1.9783148884436723
"Clare, Municipal district (MD)",44.21447935218582,-66.0006033041922,7678,26,0.0
"Digby, Municipal district (MD)",44.40204860767803,-65.72237758721782,7242,15,0.0
"Digby, Town (T)",44.62389567184244,-65.76136266868987,2001,50,0.0
"Bear River (Part) 6, Indian reserve (IRI)",44.54963618678571,-65.62099090122477,141,74,0.0
"Medway River 11, Indian reserve (IRI)",44.268113825903235,-64.84251859117181,15,73,8.709770829467299
"Ponhook Lake 10, Indian reserve (IRI)",44.16794936922141,-64.99714714629454,15,19,2.8261180961619266
"Queens, Regional municipality (RGM)",44.1811527166297,-64.96680771985645,10422,19,0.00406719469406699
"Wildcat 12, Indian reserve (IRI)",44.353994666890245,-64.92020510313732,49,73,2.6656805451478536
"Annapolis, Subd. D, Subdivision of county municipality (SC)",44.618161056599654,-65.16437158071518,3049,42,0.0
"Annapolis, Subd. A, Subdivision of county municipality (SC)",44.72249654760313,-65.4984876211086,5980,2,0.2006185202505988
"Bear River 6B, Indian reserve (IRI)",44.705927038240816,-65.50196280410883,15,2,2.033267672240999
"Annapolis Royal, Town (T)",44.74310779412049,-65.5115672077964,530,2,2.313383241269064
"Annapolis, Subd. B, Subdivision of county municipality (SC)",44.861839079786314,-65.2304293166785,4587,51,0.0
"Annapolis, Subd. C, Subdivision of county municipality (SC)",44.962156159171975,-65.0693715090891,5218,71,0.0
"Middleton, Town (T)",44.944686887008956,-65.0732005324087,1873,32,0.0
"Lunenburg, Municipal district (MD)",44.43202211670969,-64.59025613403603,25545,11,0.0
"Bridgewater, Town (T)",44.382263394619706,-64.52512279699287,8790,49,0.0
"Lunenburg, Town (T)",44.37688890011922,-64.31962929826751,2396,60,0.0
"Mahone Bay, Town (T)",44.44765913264441,-64.38276749184557,1064,68,0.0
"Chester, Municipal district (MD)",44.67722112755853,-64.35252607236673,10693,5,0.0
"Gold River 21, Indian reserve (IRI)",44.558072125063596,-64.34421213496172,81,77,0.0
"Pennal 19, Indian reserve (IRI)",44.794775510320385,-64.43524849331419,30,79,0.0
"Kings, Subd. A, Subdivision of county municipality (SC)",44.95940023340247,-64.75583282994057,22355,20,0.0
"Annapolis Valley First Nation, Indian reserve (IRI)",45.0682736874264,-64.65099979381107,743,75,0.0
"Berwick, Town (T)",45.04807507667779,-64.7338157057251,2455,55,0.0
"Kings, Subd. C, Subdivision of county municipality (SC)",44.95661655365237,-64.51608765530828,8348,44,0.0
"Kentville, Town (T)",45.07205627894064,-64.51683901807753,6630,7,0.0
"Kings, Subd. B, Subdivision of county municipality (SC)",45.182053248465344,-64.46647595967315,11951,33,0.0
"Kings, Subd. D, Subdivision of county municipality (SC)",45.034098648737206,-64.33878687107877,5264,52,0.16502127992752688
"Wolfville, Town (T)",45.08945122433105,-64.36080837373413,5057,57,0.0
"Glooscap 35, Indian reserve (IRI)",45.04202185898313,-64.23771531677667,111,52,7.825338343447429
"West Hants, Rural municipality (RM)",44.96970195786952,-64.11512670626222,19509,14,0.0
